new_date_column,Donald Trump,Joe Biden
2020-07-12,0.035278732202659764,0.028988772117702937
2020-07-13,0.0055698134594630725,0.12166913258014185
2020-07-14,0.01976389443469847,0.07629747148172164
2020-07-15,0.020162706014252744,0.030099190161690124
2020-07-18,0.027875644179773097,0.08212996433391162
2020-07-19,0.09282939874939873,0.08265430962799378
2020-07-20,-0.02869933080808083,0.14444460317460325
2020-07-21,0.045358595598845516,0.07252555086580079
2020-07-22,0.054454440836940884,-0.019329461279461283
2020-07-23,0.049803524542586936,0.07347282332251097
2020-07-24,0.06724764762684395,0.10277447135040872
2020-07-25,0.06481021460996017,0.04563074224849227
2020-07-27,0.00023178065453071856,0.036802356002793545
2020-07-28,0.024644844576719584,0.053351662543805516
2020-07-30,0.00195647005772006,-0.007719248565587877
2020-07-31,0.0640274591793775,0.052403560705168266
2020-08-01,0.013873010161135162,0.01523228367862299
2020-08-03,0.0007716789460539514,0.10639948142135623
2020-08-04,0.06754756620437123,0.020285943246568364
2020-08-05,0.0038991453222703243,0.1312939448051947
2020-08-06,-0.02676164372664377,0.009479294432419438
